clade,svl_max,head_length,head_width,head_depth,radius,humerus,tibia,femur,axilla_to_groin,eye_to_ear,eye_to_snout,front_digit,rear_digit
east,1.802089258,1.08219664,1.053453888,0.816830915,0.97927779,0.841677297,1.048403107,1.029432081,1.49320133,0.501115275,0.815466638,0.650071501,0.486199397
east,1.822168079,1.202740721,1.041162234,0.840929479,0.982891474,0.882905788,1.041476045,1.037282294,1.475783517,0.597254868,0.853603638,0.618750768,0.744903321
east,1.794488047,1.229243153,1.053033452,0.849931803,0.990702032,0.860826134,1.095304132,1.024743651,1.461703667,0.585351317,0.872056206,0.702851149,0.727439031
east,1.770852012,1.293597711,1.085147765,0.894132629,1.043384035,0.986654007,1.109863458,1.087837346,1.505420194,0.67069978,0.896424437,0.738528479,0.810559394
east,1.798650645,1.248120426,1.012656206,0.881566838,1.017205116,0.86902493,1.084879496,1.063908219,1.488111993,0.602726755,0.885830733,0.690436497,0.740175533
west,1.824125834,1.249829951,1.050866904,0.83254439,1.011641749,0.914124264,1.091822444,1.077218892,1.503318676,0.787782352,0.898091767,0.750942844,0.780839071
west,1.833784375,1.265022218,1.052493849,0.834908284,1.011211585,0.905886139,1.072469608,1.060452152,1.494897548,0.615669621,0.884144643,0.605327581,0.766001156
west,1.806179974,1.251315482,1.029653659,0.85087559,1.002165648,0.923420435,1.074948954,1.089913175,1.489210407,0.646160975,0.896435308,0.692441604,0.779759264
west,1.756636108,1.248604025,1.052792048,0.828853677,0.99196851,0.918694805,1.063726474,1.070454906,1.506798425,0.692026409,0.861419611,0.691113278,0.777793157
west,1.870403905,1.265760411,1.062716678,0.850409697,0.996548515,0.941258624,1.066780173,1.024644846,1.49144161,0.662615297,0.854837377,0.741033848,0.821076906
west,1.786751422,1.215429367,1.02480925,0.891971755,0.984180901,0.917569878,1.061781276,1.036284806,1.516875725,0.63625228,0.836212694,0.645637965,0.741475961
west,1.835690571,1.281833632,1.101514702,0.863625908,1.046084618,0.914915944,1.116218663,1.054728514,1.453487044,0.78574911,0.920568259,0.66361839,0.807122871
central,1.72427587,1.251134924,1.07908046,0.862621601,0.990837226,0.864162693,1.061913314,1.066370431,1.441971982,0.691411965,0.855998421,0.732274955,0.783617249
central,1.857332496,1.266666613,1.073046986,0.840421963,1.026496059,0.922261284,1.045788818,1.062735055,1.509872501,0.550929162,0.85604376,0.721244151,0.753895839
central,1.866877814,1.271536026,1.059059708,0.829386941,1.008809143,0.897439576,1.081259795,1.06389005,1.491228253,0.657187354,0.864435685,0.685802317,0.760757928
central,1.840733235,1.233995695,1.037256856,0.814129323,0.968828075,0.834967243,1.050809418,1.025649868,1.487581482,0.648234364,0.841894795,0.720398879,0.70407266
central,1.868644438,1.250747129,1.060892042,0.846257677,1.0070166,0.861280557,1.079538699,1.042747125,1.508504007,0.66463565,0.856652846,0.665542664,0.809148404
central,1.826074803,1.267228028,1.064122513,0.843106825,1.01826984,0.901732057,1.100602559,1.049040375,1.467207852,0.691355848,0.843760154,0.71721681,0.779357804
central,1.838849091,1.267472985,1.105418342,0.883706921,1.043339768,0.906843322,1.08950965,1.066656847,1.399218852,0.721823382,0.896446179,0.687883927,0.761901495
central,1.820201459,1.250973518,1.084423459,0.849155735,1.010967591,0.901324197,1.070030504,1.035304124,1.466127656,0.631182839,0.849323177,0.69703789,0.714192377
west,1.861534411,1.262620724,1.068608329,0.916402498,1.018326384,0.891487483,1.100392527,1.105042697,1.445878605,0.653762408,0.886980797,0.68249995,0.757860445
west,1.823474229,1.245520332,1.059176686,0.833237303,1.048663074,0.892992461,1.070788225,1.039918616,1.453514197,0.711106085,0.820756504,0.795369905,0.916143299
west,1.832508913,1.275486831,1.076246139,0.829907509,1.012395956,0.873450338,1.098566516,1.057937928,1.482134996,0.743637435,0.86204239,0.685227972,0.774383436
west,1.822168079,1.258859083,1.060477412,0.840929479,1.009183953,0.871380321,1.060777576,1.021039601,1.481553474,0.728839523,0.883004975,0.677307585,0.823331084
